Date,Time,Milliseconds,ResponseTime(secs)
06/05/2017,12:11:35,216,0.1925121
06/05/2017,12:11:35,284,0.1844912
06/05/2017,12:11:35,446,0.2155735
06/05/2017,12:11:35,509,0.3489248
06/05/2017,12:11:35,700,0.215943
06/05/2017,12:11:35,518,0.4004329
06/05/2017,12:11:35,821,0.2325549
06/05/2017,12:11:35,919,0.2665576
06/05/2017,12:11:35,958,0.3094885
06/05/2017,12:11:35,952,0.3897189
06/05/2017,12:11:36,265,0.1931602
06/05/2017,12:11:36,56,0.4167743
06/05/2017,12:11:36,105,0.3893917
06/05/2017,12:11:36,306,0.3019407
06/05/2017,12:11:36,466,0.2361112
06/05/2017,12:11:36,495,0.2576284
06/05/2017,12:11:36,519,0.3777036
06/05/2017,12:11:36,716,0.1980648
06/05/2017,12:11:36,610,0.4434525
06/05/2017,12:11:36,910,0.3233496
06/05/2017,12:11:36,963,0.3034499
06/05/2017,12:11:36,758,0.5737775
06/05/2017,12:11:36,910,0.511413
06/05/2017,12:11:36,943,0.5094967
06/05/2017,12:11:37,302,0.3230548
06/05/2017,12:11:37,308,0.3290332
06/05/2017,12:11:37,105,0.6624748
06/05/2017,12:11:37,386,0.5189896
06/05/2017,12:11:37,665,0.3169087
06/05/2017,12:11:37,676,0.3229264
06/05/2017,12:11:37,473,0.5651354
06/05/2017,12:11:37,505,0.5672376
06/05/2017,12:11:38,17,0.1948818
06/05/2017,12:11:37,821,0.4284884
06/05/2017,12:11:37,957,0.3485456
06/05/2017,12:11:38,44,0.3201389
06/05/2017,12:11:38,281,0.2306908
06/05/2017,12:11:38,470,0.1923334
06/05/2017,12:11:38,219,0.6187239
06/05/2017,12:11:38,217,0.6351003
06/05/2017,12:11:38,660,0.1973881
06/05/2017,12:11:38,291,0.6699956
06/05/2017,12:11:38,700,0.3012005
06/05/2017,12:11:38,378,0.6722331
06/05/2017,12:11:38,388,0.6632061
06/05/2017,12:11:38,900,0.2508153
06/05/2017,12:11:39,91,0.2327166
06/05/2017,12:11:39,213,0.2374607
06/05/2017,12:11:38,909,0.7019253
06/05/2017,12:11:38,910,0.7094214
06/05/2017,12:11:39,22,0.6827428
06/05/2017,12:11:39,454,0.2973234
06/05/2017,12:11:39,487,0.3044607
06/05/2017,12:11:39,95,0.7027351
06/05/2017,12:11:39,161,0.6749975
06/05/2017,12:11:39,793,0.1905192
06/05/2017,12:11:39,826,0.3037152
06/05/2017,12:11:39,667,0.5406234
06/05/2017,12:11:39,680,0.5656884
06/05/2017,12:11:40,27,0.2520535
06/05/2017,12:11:39,762,0.5393831
06/05/2017,12:11:40,213,0.2357408
06/05/2017,12:11:39,994,0.607582
06/05/2017,12:11:39,992,0.6206158
06/05/2017,12:11:40,404,0.3147941
06/05/2017,12:11:40,515,0.2675497
06/05/2017,12:11:40,257,0.7406697
06/05/2017,12:11:40,768,0.2756415
06/05/2017,12:11:40,823,0.2775537
06/05/2017,12:11:40,408,0.7262603
06/05/2017,12:11:40,444,0.6951745
06/05/2017,12:11:40,659,0.6892268
06/05/2017,12:11:41,82,0.2667642
06/05/2017,12:11:40,667,0.695242
06/05/2017,12:11:41,134,0.2786921
06/05/2017,12:11:41,398,0.262474
06/05/2017,12:11:41,55,0.6489187
06/05/2017,12:11:41,463,0.2649466
06/05/2017,12:11:41,186,0.69281
06/05/2017,12:11:41,196,0.7114677
06/05/2017,12:11:41,760,0.1903993
06/05/2017,12:11:41,399,0.6792629
06/05/2017,12:11:41,407,0.6730959
06/05/2017,12:11:41,991,0.1852695
06/05/2017,12:11:41,751,0.5090095
06/05/2017,12:11:42,211,0.1839468
06/05/2017,12:11:41,960,0.5146697
06/05/2017,12:11:42,431,0.1928445
06/05/2017,12:11:42,126,0.5539265
06/05/2017,12:11:42,137,0.547913
06/05/2017,12:11:42,313,0.4799065
06/05/2017,12:11:42,662,0.1937384
06/05/2017,12:11:42,573,0.3019152
06/05/2017,12:11:42,892,0.1882148
06/05/2017,12:11:42,857,0.3349152
06/05/2017,12:11:42,863,0.3359991
06/05/2017,12:11:43,226,0.3316355
06/05/2017,12:11:43,233,0.3316385
06/05/2017,12:11:43,596,0.3284679
06/05/2017,12:11:43,603,0.3269674
