Round,Date,Time,Milliseconds,ResponseTime(secs)
0,06/05/2017,12:51:59,852,0.1955206
0,06/05/2017,12:51:59,923,0.1854943
0,06/05/2017,12:52:00,79,0.1834886
0,06/05/2017,12:52:00,141,0.2556802
0,06/05/2017,12:52:00,147,0.3609607
0,06/05/2017,12:52:00,295,0.2185815
0,06/05/2017,12:52:00,509,0.2376309
0,06/05/2017,12:52:00,581,0.232609
0,06/05/2017,12:52:00,508,0.5344222
0,06/05/2017,12:52:00,883,0.269011
1,06/05/2017,12:52:07,165,0.320316
1,06/05/2017,12:52:07,148,0.3446795
1,06/05/2017,12:52:07,156,0.3408127
1,06/05/2017,12:52:07,171,0.3341447
1,06/05/2017,12:52:07,400,0.2284836
1,06/05/2017,12:52:07,518,0.2812103
1,06/05/2017,12:52:07,539,0.321966
1,06/05/2017,12:52:07,533,0.4741854
1,06/05/2017,12:52:07,530,0.4812036
1,06/05/2017,12:52:07,681,0.3837426
