Round,Date,Time,Milliseconds,ResponseTime(secs),InstanceType
1,10/05/2017,15:30:21,660,0.2686713,Micro
1,10/05/2017,15:30:22,49,0.4240814,Micro
1,10/05/2017,15:30:22,57,0.4520844,Micro
1,10/05/2017,15:30:22,510,0.9055641,Micro
1,10/05/2017,15:30:22,527,0.9335291,Micro
1,10/05/2017,15:30:22,819,0.6472914,Micro
1,10/05/2017,15:30:23,610,0.7128219,Micro
1,10/05/2017,15:30:23,628,0.7556324,Micro
1,10/05/2017,15:30:23,618,0.7726769,Micro
1,10/05/2017,15:30:24,28,0.4825097,Micro
2,10/05/2017,15:30:29,831,1.0106419,Micro
2,10/05/2017,15:30:29,845,1.0501461,Micro
2,10/05/2017,15:30:29,838,1.0631885,Micro
2,10/05/2017,15:30:29,854,1.0551685,Micro
2,10/05/2017,15:30:29,861,1.0702371,Micro
2,10/05/2017,15:30:31,44,0.9151266,Micro
2,10/05/2017,15:30:31,53,0.96626,Micro
2,10/05/2017,15:30:31,61,0.9687573,Micro
2,10/05/2017,15:30:31,68,0.96274,Micro
2,10/05/2017,15:30:31,366,0.7583789,Micro
